,county,pop_total,unemployment_rate,income,temp
466,"Richmond County, New York",495747,0.04,73197,71.2
467,"Rockland County, New York",338329,0.053,84855,67.6
468,"St. Lawrence County, New York",108505,0.066,44705,59.6
469,"Saratoga County, New York",235509,0.02,71496,62.6
470,"Schenectady County, New York",158061,0.054,58114,63.3
471,"Steuben County, New York",93584,0.055,47280,61.8
472,"Suffolk County, New York",1525920,0.031,88663,68.6
473,"Sullivan County, New York",78624,0.07,50710,62.0
474,"Tompkins County, New York",105740,0.03,52624,62.2
475,"Ulster County, New York",181851,0.031,58918,63.2
476,"Warren County, New York",65737,0.026,56798,59.6
477,"Wayne County, New York",91283,0.033,50798,64.0
478,"Westchester County, New York",1004457,0.047,83958,68.0
479,"Alamance County, North Carolina",171415,0.035,41814,70.7
480,"Brunswick County, North Carolina",136693,0.05,46859,74.8
481,"Buncombe County, North Carolina",269452,0.019,45167,64.6
482,"Burke County, North Carolina",87570,0.035,39360,68.7
483,"Cabarrus County, North Carolina",225804,0.034,54720,70.4
